uprn,r100_programme,web_scenario_readable,r100_expected_end_date
125087602,,No connectivity data available,
125053355,,Already enabled,
125053596,SBVS,Premises sub 30mbps - eligible for SBVS,
125053561,R100,In intervention area: build expected,2026
125032766,,Already enabled,
125053526,R100,In intervention area: build expected,2026
125053138,R100,In intervention area: build expected,2026
125023236,,Already enabled,
125017324,SBVS,Premises sub 30mbps - eligible for SBVS,
125009919,SBVS,Premises sub 30mbps - eligible for SBVS,
125020883,,Already enabled,
125014009,,Already enabled,
125032755,,Already enabled,
125053833,,Already enabled,
125087787,,No connectivity data available,
125053839,,Already enabled,
125026767,,Already enabled,
125022947,,Already enabled,
125053851,,Already enabled,
125087802,,No connectivity data available,
125006267,R100,In intervention area: build expected,2026
125041457,,Already enabled,
125026944,,Already enabled,
125004290,,Already enabled,
125053573,R100,In intervention area: build expected,2026
125075426,,Already enabled,
125053315,R100,In intervention area: build expected,2026
125002295,,Already enabled,
125009805,,Already enabled,
125078772,,Already enabled,
125053168,,Already enabled,
125032753,,Already enabled,
125053733,R100,In intervention area: build expected,2026
125053577,R100,In intervention area: build expected,2026
125032813,,Already enabled,
125032786,,Already enabled,
125004222,,Already enabled,
125087604,,No connectivity data available,
125007876,,Already enabled,
125028815,,Already enabled,
125053726,R100,In intervention area: build expected,2026
125087797,,No connectivity data available,
125021609,,Already enabled,
125032783,SBVS,Premises sub 30mbps - eligible for SBVS,
125053894,,Already enabled,
125053908,,Already enabled,
125015919,SBVS,Premises sub 30mbps - eligible for SBVS,
125029043,R100,In intervention area: build expected,2026
125022832,R100,In intervention area: build expected,2026
125017376,,Already enabled,
125053820,,Already enabled,
125081826,,Already enabled,
125053792,SBVS,Premises sub 30mbps - eligible for SBVS,
125028939,,Already enabled,
125023014,SBVS,Premises sub 30mbps - eligible for SBVS,
125053805,R100,In intervention area: build expected,2026
125081424,,Already enabled,
125009866,,Already enabled,
125053835,,Already enabled,
125053521,R100,In intervention area: build expected,2026
125053863,,Already enabled,
125028831,,Already enabled,
125053911,,Already enabled,
125080002,,Already enabled,
125053858,,Already enabled,
125053581,R100,In intervention area: build expected,2026
125004217,,Already enabled,
125053744,R100,In intervention area: build expected,2026
125053548,R100,In intervention area: build expected,2026
125053212,,Already enabled,
125004186,SBVS,Premises sub 30mbps - eligible for SBVS,
125004211,,Already enabled,
125032751,,Already enabled,
125032746,,Already enabled,
125004288,,Already enabled,
125082480,SBVS,Premises sub 30mbps - eligible for SBVS,
125053802,SBVS,Premises sub 30mbps - eligible for SBVS,
125053857,,Already enabled,
125087794,,No connectivity data available,
125086013,,Already enabled,
125010335,,Already enabled,
125087598,,No connectivity data available,
125042744,R100,In intervention area: build expected,2026
125053647,SBVS,Premises sub 30mbps - eligible for SBVS,
125032730,,Already enabled,
125068579,R100,In intervention area: build expected,2026
125053629,R100,In intervention area: build expected,2026
125006609,,Already enabled,
125087402,SBVS,Premises sub 30mbps - eligible for SBVS,
125053606,R100,In intervention area: build expected,2026
125032805,,Already enabled,
125029054,SBVS,Premises sub 30mbps - eligible for SBVS,
125088139,SBVS,Premises sub 30mbps - eligible for SBVS,
125087600,,No connectivity data available,
125002775,,Already enabled,
125053680,R100,In intervention area: build expected,2026
125074153,,Already enabled,
125015622,,Already enabled,
125027038,,Already enabled,
125053648,R100,In intervention area: build expected,2026
125019108,,Already enabled,
125004293,,Already enabled,
125025161,,Already enabled,
125004212,,Already enabled,
125044299,R100,In intervention area: build expected,2026
125053432,,Already enabled,
125053837,,Already enabled,
125087611,,No connectivity data available,
125053587,R100,In intervention area: build expected,2026
125032808,,Already enabled,
125021280,SBVS,Premises sub 30mbps - eligible for SBVS,
125087783,,No connectivity data available,
125023517,R100,In intervention area: build expected,2026
125030593,,Already enabled,
125053148,SBVS,Premises sub 30mbps - eligible for SBVS,
125079263,,Already enabled,
125087801,,No connectivity data available,
125053619,R100,In intervention area: build expected,2026
125019121,SBVS,Premises sub 30mbps - eligible for SBVS,
125017401,,Already enabled,
125004215,,Already enabled,
125053217,,Already enabled,
125007842,,Already enabled,
125053773,R100,In intervention area: build expected,2026
125013677,,Already enabled,
125012131,,Already enabled,
125032780,,Already enabled,
125086020,SBVS,Premises sub 30mbps - eligible for SBVS,
125053165,,Already enabled,
125019478,R100,In intervention area: build expected,2026
125074302,R100,In intervention area: build expected,2026
125075059,,Already enabled,
125032734,,Already enabled,
125000172,,Already enabled,
125014231,,Already enabled,
125053915,,Already enabled,
125079936,,Already enabled,
125002789,,Already enabled,
125053732,R100,In intervention area: build expected,2026
125015998,SBVS,Premises sub 30mbps - eligible for SBVS,
125088916,SBVS,Premises sub 30mbps - eligible for SBVS,
125009899,,Already enabled,
125053607,R100,In intervention area: build expected,2026
125053166,,Already enabled,
125087593,,No connectivity data available,
125032756,,Already enabled,
125015504,,Already enabled,
125032811,,Already enabled,
125015612,,Already enabled,
125070164,R100,In intervention area: build expected,2026
125045774,R100,In intervention area: build expected,2026
125023015,SBVS,Premises sub 30mbps - eligible for SBVS,
125009962,,Already enabled,
125004529,R100,In intervention area: build expected,2026
125026971,,Already enabled,
125087784,,No connectivity data available,
125013709,,Already enabled,
125088123,SBVS,Premises sub 30mbps - eligible for SBVS,
125053780,R100,In intervention area: build expected,2026
125008504,SBVS,Premises sub 30mbps - eligible for SBVS,
125053150,SBVS,Premises sub 30mbps - eligible for SBVS,
125053302,R100,In intervention area: build expected,2026
125002282,,Already enabled,
125053344,SBVS,Premises sub 30mbps - eligible for SBVS,
125053560,R100,In intervention area: build expected,2026
125053825,,Already enabled,
125053353,,Already enabled,
125053449,,Already enabled,
125053746,,Already enabled,
125084152,,Already enabled,
125044294,SBVS,Premises sub 30mbps - eligible for SBVS,
125053152,SBVS,Premises sub 30mbps - eligible for SBVS,
125009917,,Already enabled,
125008090,SBVS,Premises sub 30mbps - eligible for SBVS,
125053544,,Already enabled,
125006446,SBVS,Premises sub 30mbps - eligible for SBVS,
125004220,,Already enabled,
125000694,,Already enabled,
125000207,,Already enabled,
125013654,,Already enabled,
125053721,R100,In intervention area: build expected,2026
125042265,,Already enabled,
125087789,,No connectivity data available,
125006150,,Already enabled,
125021117,SBVS,Premises sub 30mbps - eligible for SBVS,
125032814,R100,In intervention area: build expected,2026
125004185,SBVS,Premises sub 30mbps - eligible for SBVS,
125053139,R100,In intervention area: build expected,2026
125053349,SBVS,Premises sub 30mbps - eligible for SBVS,
125053723,SBVS,Premises sub 30mbps - eligible for SBVS,
125053436,,Already enabled,
125053582,R100,In intervention area: build expected,2026
125053554,,Already enabled,
125004321,,Already enabled,
125073120,R100,In intervention area: build expected,2026
125032747,,Already enabled,
125053729,R100,In intervention area: build expected,2026
125053608,SBVS,Premises sub 30mbps - eligible for SBVS,
125073273,R100,In intervention area: build expected,2026
125032748,,Already enabled,
125053416,R100,In intervention area: build expected,2026
125053789,R100,In intervention area: build expected,2026
125022929,,Already enabled,
125053337,SBVS,Premises sub 30mbps - eligible for SBVS,
125087806,,No connectivity data available,
125087785,,No connectivity data available,
125014010,,Already enabled,
125053207,,Already enabled,
125032774,SBVS,Premises sub 30mbps - eligible for SBVS,
125075060,,Already enabled,
125032757,,Already enabled,
125053622,R100,In intervention area: build expected,2026
125087599,,No connectivity data available,
125016146,,Already enabled,
125053542,,Already enabled,
125053293,,Already enabled,
125053743,,Already enabled,
125053559,R100,In intervention area: build expected,2026
125032775,SBVS,Premises sub 30mbps - eligible for SBVS,
125032761,,Already enabled,
125053772,,Already enabled,
125087597,,No connectivity data available,
125026749,,Already enabled,
125030591,,Already enabled,
125032762,,Already enabled,
125053886,SBVS,Premises sub 30mbps - eligible for SBVS,
125025162,,Already enabled,
125088915,SBVS,Premises sub 30mbps - eligible for SBVS,
125053736,R100,In intervention area: build expected,2026
125032807,,Already enabled,
125053667,SBVS,Premises sub 30mbps - eligible for SBVS,
125053859,,Already enabled,
125008067,,Already enabled,
125032781,,Already enabled,
125032787,,Already enabled,
125004219,,Already enabled,
125000220,SBVS,Premises sub 30mbps - eligible for SBVS,
125053791,,Already enabled,
125032760,,Already enabled,
125032769,SBVS,Premises sub 30mbps - eligible for SBVS,
125078393,R100,In intervention area: build expected,2026
125004850,,Already enabled,
125053777,R100,In intervention area: build expected,2026
125006166,R100,In intervention area: build expected,2026
125017753,,Already enabled,
125009830,,Already enabled,
125053447,,Already enabled,
125053719,R100,In intervention area: build expected,2026
125053321,R100,In intervention area: build expected,2026
125032799,,Already enabled,
125041641,,Already enabled,
125020963,SBVS,Premises sub 30mbps - eligible for SBVS,
125053589,R100,In intervention area: build expected,2026
125053317,R100,In intervention area: build expected,2026
125053167,,Already enabled,
125080268,,Already enabled,
125053215,,Already enabled,
125053143,R100,In intervention area: build expected,2026
125027147,,Already enabled,
125087786,,No connectivity data available,
125053574,R100,In intervention area: build expected,2026
125000785,SBVS,Premises sub 30mbps - eligible for SBVS,
125053335,R100,In intervention area: build expected,2026
125008438,,Already enabled,
125000485,,Already enabled,
125053862,,Already enabled,
125032812,,Already enabled,
125053296,,Already enabled,
125042718,SBVS,Premises sub 30mbps - eligible for SBVS,
125078190,R100,In intervention area: build expected,2026
125053731,R100,In intervention area: build expected,2026
125053579,R100,In intervention area: build expected,2026
125021395,,Already enabled,
125080921,R100,In intervention area: build expected,2026
125070826,SBVS,Premises sub 30mbps - eligible for SBVS,
125027150,SBVS,Premises sub 30mbps - eligible for SBVS,
125004184,,Already enabled,
125073664,SBVS,Premises sub 30mbps - eligible for SBVS,
125053276,,Already enabled,
125053209,,Already enabled,
125068581,R100,In intervention area: build expected,2026
125004275,,Already enabled,
125006444,,Already enabled,
125053730,R100,In intervention area: build expected,2026
125053740,R100,In intervention area: build expected,2026
125053305,R100,In intervention area: build expected,2026
125032770,SBVS,Premises sub 30mbps - eligible for SBVS,
125011592,SBVS,Premises sub 30mbps - eligible for SBVS,
125053843,,Already enabled,
125053272,,Already enabled,
125010080,SBVS,Premises sub 30mbps - eligible for SBVS,
125079174,R100,In intervention area: build expected,2026
125002440,SBVS,Premises sub 30mbps - eligible for SBVS,
125053146,SBVS,Premises sub 30mbps - eligible for SBVS,
125070813,,Already enabled,
125004291,,Already enabled,
125023559,,Already enabled,
125004721,,Already enabled,
125072686,R100,In intervention area: build expected,2026
